Symbol,Quality,Mgmt Score,Fair Value,Buy Price,Reasoning
ABB,INVESTIBLE,9.0,2260.0,2034.0,ABB India is a subsidiary of the Swiss multination
ABCAPITAL,INVESTIBLE,0.9,-511.97,-460.77,Aditya Birla Capital is the holding company for th
360ONE,INVESTIBLE,0.9,-632.78,-569.5,360 ONE WAM (formerly IIFL Wealth) is India's larg
ADANIENT,INVESTIBLE,2.0,-500.5,-450.45,Management integrity is under severe scrutiny foll
ADANIGREEN,INVESTIBLE,3.0,3148594890.5,2833735401.45,Management integrity is severely compromised by th
ADANIPORTS,INVESTIBLE,6.0,-683.5,-615.15,Adani Ports is the dominant market leader in India
ALKEM,INVESTIBLE,7.0,-1131.55,-1018.4,Alkem Laboratories maintains a strong market posit
AMBUJACEM,INVESTIBLE,6.0,-719.63,-647.66,"Part of the Adani Group, the company demonstrates "
AMBER,INVESTIBLE,0.85,-115471.85,-103924.67,Amber Enterprises exhibits strong corporate govern
ANGELONE,INVESTIBLE,8.0,66132.49,59519.24,Angel One demonstrates robust corporate governance
APLAPOLLO,INVESTIBLE,0.85,-101.07,-90.97,The management has maintained a strong market lead
APOLLOHOSP,INVESTIBLE,8.0,-8176.07,-7358.47,Apollo Hospitals is led by the reputable Reddy fam
ASIANPAINT,INVESTIBLE,9.5,-492.26,-443.03,Asian Paints is widely regarding as a 'Gold Standa
ASTRAL,INVESTIBLE,0.9,-1769.13,-1592.21,High promoter holding (~54%) indicates strong skin
ASHOKLEY,INVESTIBLE,6.5,-2.3,-2.07,Ashok Leyland is the flagship company of the Hindu
AUBANK,INVESTIBLE,9.0,-22.46,-20.21,AU Small Finance Bank is led by its founder Sanjay
AUROPHARMA,INVESTIBLE,6.0,-516.38,-464.74,Aurobindo Pharma has a history of regulatory hurdl
AXISBANK,INVESTIBLE,9.0,-216056.45,-194450.8,Axis Bank is rated in the top-tier 'Leadership' ca
BAJAJ-AUTO,INVESTIBLE,9.5,67747.37,60972.63,The Bajaj Group is widely recognized for its high 
BAJFINANCE,INVESTIBLE,9.0,-361.25,-325.12,"Bajaj Finance is part of the Bajaj Group, widely r"
BAJAJHLDNG,INVESTIBLE,9.0,4317.97,3886.17,Bajaj Holdings is part of the renowned Bajaj Group
BAJAJFINSV,INVESTIBLE,9.0,-1808.46,-1627.62,"Bajaj Finserv is part of the Bajaj Group, widely r"
BANKINDIA,INVESTIBLE,7.5,-30.77,-27.7,Bank of India demonstrates strong financial moment
BANKBARODA,INVESTIBLE,7.0,-8848.33,-7963.5,Bank of Baroda is a major Public Sector Undertakin
BANDHANBNK,INVESTIBLE,0.8,-17.44,-15.69,Bandhan Bank has recently appointed Partha Pratim 
BEL,INVESTIBLE,90.0,119.64,107.68,Bharat Electronics Limited (BEL) is a 'Navratna' P
BDL,INVESTIBLE,8.0,309.62,278.66,Bharat Dynamics is a Miniratna Category-I Public S
BHARATFORG,INVESTIBLE,8.5,-351.11,-316.0,"Bharat Forge, a flagship company of the Kalyani Gr"
BHARTIARTL,INVESTIBLE,9.5,-481.46,-433.31,Bharti Airtel consistently holds the highest corpo
BHEL,INVESTIBLE,8.0,-51.09,-45.98,BHEL is a 'Maharatna' Public Sector Undertaking (P
BIOCON,INVESTIBLE,8.0,-2944.85,-2650.36,"Biocon is led by Kiran Mazumdar-Shaw, a highly res"
BLUESTARCO,INVESTIBLE,9.0,-201.95,-181.76,Blue Star is professionally managed by the Advani 
BOSCHLTD,INVESTIBLE,90.0,22932.36,20639.13,Bosch Limited is the flagship Indian subsidiary of
BRITANNIA,INVESTIBLE,0.85,-6889.94,-6200.95,Britannia Industries is part of the Wadia Group an
BPCL,INVESTIBLE,8.0,-5507.47,-4956.72,BPCL is a 'Maharatna' PSU with robust governance f
BSE,INVESTIBLE,7.0,1323.98,1191.58,BSE Ltd is a highly regulated market infrastructur
CAMS,INVESTIBLE,9.0,-298.21,-268.39,CAMS operates as a dominant leader (duopoly) with 
CANBK,INVESTIBLE,6.5,-12903.92,-11613.53,"Management is generally stable as a PSU, but there"
CDSL,INVESTIBLE,9.0,1559.32,1403.39,CDSL is a professionally managed institution backe
CGPOWER,INVESTIBLE,9.0,75.78,68.2,The company is now backed by the Murugappa Group (
CIPLA,INVESTIBLE,9.0,278261.38,250435.24,Cipla is renowned for its humanitarian approach ('
CHOLAFIN,INVESTIBLE,7.0,-1730.29,-1557.26,Cholamandalam is part of the reputed Murugappa Gro
COLPAL,INVESTIBLE,0.9,-3344.7,-3010.23,Colgate-Palmolive (India) is a subsidiary of a glo
COALINDIA,INVESTIBLE,0.8,306.01,275.41,State-owned enterprise (PSU) with generally high t
COFORGE,INVESTIBLE,9.0,-341.13,-307.01,Coforge demonstrates strong governance with a prof
CONCOR,INVESTIBLE,8.0,-265.29,-238.76,CONCOR is a 'Navratna' PSU with a dominant positio
CROMPTON,INVESTIBLE,90.0,-176.33,-158.7,Crompton Greaves Consumer Electricals is a profess
CUMMINSIND,INVESTIBLE,0.9,1356.3,1220.67,Cummins India is a subsidiary of Cummins Inc. (USA
DABUR,INVESTIBLE,8.0,-96.52,-86.87,Dabur India maintains a strong reputation for corp
DALBHARAT,INVESTIBLE,8.5,-190.16,-171.15,The Dalmia Bharat Group is a reputable conglomerat
DELHIVERY,INVESTIBLE,0.85,21.59,19.43,Managed by founders with strong professional backg
DIXON,INVESTIBLE,0.9,-1025.24,-922.72,Dixon Technologies exhibits high management integr
DIVISLAB,INVESTIBLE,90.0,420.6,378.54,Divi's Laboratories is led by Dr. Murali Divi with
DMART,INVESTIBLE,10.0,-442.6,-398.34,"Promoted by Radhakishan Damani, a veteran investor"
DRREDDY,INVESTIBLE,0.8,-183.8,-165.42,Dr. Reddy's is led by a professionally competent m
DLF,INVESTIBLE,80.0,-426.23,-383.6,DLF has significantly improved its corporate gover
EICHERMOT,INVESTIBLE,9.0,3374.98,3037.48,"Eicher Motors is led by Siddhartha Lal, who is cre"
EXIDEIND,INVESTIBLE,8.0,-14.47,-13.02,Exide Industries is part of the reputed Rajan Rahe
ETERNAL,INVESTIBLE,9.0,-9.38,-8.44,Management (led by Deepinder Goyal) shows high int
FEDERALBNK,INVESTIBLE,0.9,43.55,39.19,Federal Bank is an old private sector bank with a 
GAIL,INVESTIBLE,6.5,-99.64,-89.68,GAIL is a 'Maharatna' PSU with a generally robust 
FORTIS,INVESTIBLE,8.0,-96.04,-86.43,Since the acquisition by IHH Healthcare Berhad in 
GLENMARK,INVESTIBLE,5.0,-642.46,-578.21,Management integrity is a concern due to repeated 
GODREJPROP,INVESTIBLE,9.5,3169.82,2852.84,Godrej Properties is part of the illustrious Godre
HAVELLS,INVESTIBLE,9.0,-5922.47,-5330.23,Havells India is widely regarded for its strong pr
HAL,INVESTIBLE,85.0,15200.4,13680.36,Strong government backing (PSU) with a virtual mon
HCLTECH,INVESTIBLE,9.0,22228.54,20005.69,HCL Technologies is a top-tier global IT services 
HDFCAMC,INVESTIBLE,9.5,1081.4,973.26,"HDFC AMC operates under the HDFC Group, a conglome"
HDFCBANK,INVESTIBLE,0.95,-445422.43,-400880.19,HDFC Bank is widely regarded as the 'gold standard
HDFCLIFE,INVESTIBLE,90.0,-921.77,-829.59,HDFC Life is part of the renowned HDFC Group (now 
HEROMOTOCO,INVESTIBLE,0.75,334184.14,300765.73,Hero MotoCorp is a market leader with a strong leg
HINDUNILVR,INVESTIBLE,9.5,-8263.9,-7437.51,Hindustan Unilever (HUL) is widely regarded as a b
HINDALCO,INVESTIBLE,6.0,-4109.82,-3698.84,Hindalco is a flagship company of the reputable Ad
HINDPETRO,INVESTIBLE,4.0,-15956.08,-14360.47,The company has faced multiple recent governance c
HUDCO,INVESTIBLE,8.5,-524.05,-471.64,HUDCO is a 'Miniratna' Central Public Sector Enter
HINDZINC,INVESTIBLE,0.4,-74493.95,-67044.56,While operationally world-class (lowest cost zinc 
ICICIBANK,INVESTIBLE,9.0,-30063.86,-27057.47,"Under the leadership of CEO Sandeep Bakhshi, ICICI"
ICICIGI,INVESTIBLE,4.5,1541.57,1387.42,"ICICI Lombard is a subsidiary of ICICI Bank, one o"
ICICIPRULI,INVESTIBLE,0.9,-100.26,-90.23,ICICI Prudential Life Insurance is a leading priva
IDEA,INVESTIBLE,0.8,-18.74,-16.87,Backed by the reputable Aditya Birla Group and Vod
IEX,INVESTIBLE,0.85,317.97,286.17,IEX displays robust financial health with a debt-f
IDFCFIRSTB,INVESTIBLE,9.0,4559.93,4103.93,"Led by V. Vaidyanathan, the management has a stron"
INDHOTEL,INVESTIBLE,95.0,-1485.27,-1336.74,The Indian Hotels Company (IHCL) is a part of the 
INDIGO,INVESTIBLE,0.9,-8487.26,-7638.53,InterGlobe Aviation (IndiGo) commands a dominant m
INDIANB,INVESTIBLE,8.0,-27312.66,-24581.39,Indian Bank is a prominent Public Sector Undertaki
INDUSTOWER,INVESTIBLE,8.0,-2888.81,-2599.93,"Controlled by the Bharti Group (Airtel), Indus Tow"
INFY,INVESTIBLE,9.0,-777.24,-699.51,Infosys is a bellwether of the Indian IT industry 
INOXWIND,INVESTIBLE,7.0,-115.42,-103.88,The company is part of the established Inox GFL Gr
IRCTC,INVESTIBLE,8.0,482.08,433.87,IRCTC is a 'Mini Ratna' PSU with a near-monopoly i
IOC,INVESTIBLE,8.0,-16823.16,-15140.84,"Indian Oil Corporation is a Maharatna PSU, indicat"
ITC,INVESTIBLE,9.0,414.38,372.94,ITC is widely regarded as a professionally managed
IRFC,INVESTIBLE,9.0,-207.84,-187.05,IRFC is a 'Miniratna' PSU under the Ministry of Ra
IREDA,INVESTIBLE,8.0,-37.25,-33.52,IREDA is a 'Navratna' Public Sector Undertaking (P
JIOFIN,INVESTIBLE,9.0,161.85,145.67,The company is part of the Reliance Industries gro
JSWENERGY,INVESTIBLE,0.85,2269.52,2042.57,Part of the reputable JSW Group with a strong trac
JSWSTEEL,INVESTIBLE,8.0,-1619.77,-1457.79,The JSW Group management has demonstrated strong e
KAYNES,INVESTIBLE,4.0,2911.19,2620.07,While the company has delivered exceptional growth
KALYANKJIL,INVESTIBLE,0.85,-242189.61,-217970.65,Kalyan Jewellers is led by the Kalyanaraman family
KEI,INVESTIBLE,9.0,-27570.36,-24813.32,KEI Industries is led by a professional management
KFINTECH,INVESTIBLE,85.0,-4498.16,-4048.34,KFin Technologies operates in a duopoly market (RT
